Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,AnnualOutput
WECC,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,28532647.97
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.601103961
WECC,currentpolicy_10ci_adv_nocip,2030,Geothermal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,20647237.43
WECC,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.041276354
WECC,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,19458618.36
WECC,currentpolicy_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,65661268.19
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28532647.97
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.601103961
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,20647237.43
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.041276354
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,19458618.36
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,65661268.19
WECC,currentpolicy_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech.",No 24x7 Purchase,28492309.01
WECC,currentpolicy_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.797506984
WECC,currentpolicy_10ci_nocip,2030,Geothermal,"10% CI Part., Curt. Tech.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech.",No 24x7 Purchase,20644992.83
WECC,currentpolicy_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.070251196
WECC,currentpolicy_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,19458618.76
WECC,currentpolicy_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech.",No 24x7 Purchase,65661320.26
WECC,currentpolicy_25ci_adv_nocip,2030,Biomass,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,1717052.1
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CC,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,28532619.76
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CT,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.851006736
WECC,currentpolicy_25ci_adv_nocip,2030,Geothermal,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,10802177.5
WECC,currentpolicy_25ci_adv_nocip,2030,Hydro,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,20647212.33
WECC,currentpolicy_25ci_adv_nocip,2030,Nuclear,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_25ci_adv_nocip,2030,Offshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.071486731
WECC,currentpolicy_25ci_adv_nocip,2030,Onshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,19458618.76
WECC,currentpolicy_25ci_adv_nocip,2030,Utility Solar,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,65661267.28
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Biomass,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28532647.97
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CT,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.601103961
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Geothermal,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Hydro,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,20647237.43
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Nuclear,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Offshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.041276354
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Onshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,19458618.36
WECC,currentpolicy_25ci_adv_nocip_noccszcf,2030,Utility Solar,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,65661268.19
WECC,currentpolicy_25ci_nocip,2030,Biomass,"25% CI Part., Curt. Tech.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_25ci_nocip,2030,Gas CC,"25% CI Part., Curt. Tech.",No 24x7 Purchase,28492154.78
WECC,currentpolicy_25ci_nocip,2030,Gas CC w/CCS,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_25ci_nocip,2030,Gas CT,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0.829905744
WECC,currentpolicy_25ci_nocip,2030,Geothermal,"25% CI Part., Curt. Tech.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_25ci_nocip,2030,Hydro,"25% CI Part., Curt. Tech.",No 24x7 Purchase,20644997.03
WECC,currentpolicy_25ci_nocip,2030,Nuclear,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_25ci_nocip,2030,Offshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0.076309244
WECC,currentpolicy_25ci_nocip,2030,Onshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,19458618.77
WECC,currentpolicy_25ci_nocip,2030,Utility Solar,"25% CI Part., Curt. Tech.",No 24x7 Purchase,65661332.27
WECC,currentpolicy_5ci_adv_nocip,2030,Biomass,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,1717052.1
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CC,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,28532596.35
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_5ci_adv_nocip,2030,Gas CT,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,1.09492374
WECC,currentpolicy_5ci_adv_nocip,2030,Geothermal,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,10802177.5
WECC,currentpolicy_5ci_adv_nocip,2030,Hydro,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,20647239.43
WECC,currentpolicy_5ci_adv_nocip,2030,Nuclear,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_5ci_adv_nocip,2030,Offshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.064597898
WECC,currentpolicy_5ci_adv_nocip,2030,Onshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,19458618.47
WECC,currentpolicy_5ci_adv_nocip,2030,Utility Solar,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,65661267.35
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Biomass,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28532596.35
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CT,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1.09492374
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Geothermal,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Hydro,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,20647239.43
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Nuclear,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Offshore Wind,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.064597898
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Onshore Wind,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,19458618.47
WECC,currentpolicy_5ci_adv_nocip_noccszcf,2030,Utility Solar,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,65661267.35
WECC,currentpolicy_5ci_nocip,2030,Biomass,"5% CI Part., Curt. Tech.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_5ci_nocip,2030,Gas CC,"5% CI Part., Curt. Tech.",No 24x7 Purchase,28492309.01
WECC,currentpolicy_5ci_nocip,2030,Gas CC w/CCS,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_5ci_nocip,2030,Gas CT,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0.797506984
WECC,currentpolicy_5ci_nocip,2030,Geothermal,"5% CI Part., Curt. Tech.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_5ci_nocip,2030,Hydro,"5% CI Part., Curt. Tech.",No 24x7 Purchase,20644992.83
WECC,currentpolicy_5ci_nocip,2030,Nuclear,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_5ci_nocip,2030,Offshore Wind,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0.070251196
WECC,currentpolicy_5ci_nocip,2030,Onshore Wind,"5% CI Part., Curt. Tech.",No 24x7 Purchase,19458618.76
WECC,currentpolicy_5ci_nocip,2030,Utility Solar,"5% CI Part., Curt. Tech.",No 24x7 Purchase,65661320.26
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,1717052.1
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,10114578.25
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0.63054874
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Geothermal,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,25740737.5
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,20343700.83
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0.104117284
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,29690938.87
WECC,currentpolicy_80CES_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,116625500.7
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,1717052.1
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,10114600.3
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0.636984406
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,25740737.5
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,20378837.33
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0.106213478
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,29690938.88
WECC,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,116590338.2
WECC,currentpolicy_80CES_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1717052.1
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,10129451.64
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0.511909
WECC,currentpolicy_80CES_10ci_nocip,2030,Geothermal,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,25740737.5
WECC,currentpolicy_80CES_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,20294949.53
WECC,currentpolicy_80CES_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0
WECC,currentpolicy_80CES_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0.097051026
WECC,currentpolicy_80CES_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,29690938.86
WECC,currentpolicy_80CES_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,116899453.4
PJM,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_adv_nocip,2030,Coal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,14.8616571
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,757695529
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
PJM,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,324806.13
