Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,AnnualOutput
PJM,currentpolicy_10ci_adv_nocip,2030,Gas steam,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.52196193
PJM,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,10580998.7
PJM,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,56452035.1
PJM,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,28811382.9
PJM,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,41283298.7
PJM,currentpolicy_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,71167882.4
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Coal,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9.80575788
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,757695746
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,324810.245
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas steam,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.34364308
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10580998.5
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,56452034.1
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28811383.2
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,41283297.4
PJM,currentpolicy_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,71167883.6
PJM,currentpolicy_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_10ci_nocip,2030,Coal,"10% CI Part., Curt. Tech.",No 24x7 Purchase,15.3251762
PJM,currentpolicy_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech.",No 24x7 Purchase,757613779
PJM,currentpolicy_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
PJM,currentpolicy_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech.",No 24x7 Purchase,324906.666
PJM,currentpolicy_10ci_nocip,2030,Gas steam,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.53776981
PJM,currentpolicy_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech.",No 24x7 Purchase,10587548.4
PJM,currentpolicy_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech.",No 24x7 Purchase,56452035.2
PJM,currentpolicy_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,28811383
PJM,currentpolicy_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,41283298.8
PJM,currentpolicy_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech.",No 24x7 Purchase,71167881.4
PJM,currentpolicy_25ci_adv_nocip,2030,Biomass,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,2209465.49
PJM,currentpolicy_25ci_adv_nocip,2030,Coal,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,9.80575788
PJM,currentpolicy_25ci_adv_nocip,2030,Gas CC,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,757695746
PJM,currentpolicy_25ci_adv_nocip,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
PJM,currentpolicy_25ci_adv_nocip,2030,Gas CT,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,324810.245
PJM,currentpolicy_25ci_adv_nocip,2030,Gas steam,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.34364308
PJM,currentpolicy_25ci_adv_nocip,2030,Hydro,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,10580998.5
PJM,currentpolicy_25ci_adv_nocip,2030,Nuclear,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,56452034.1
PJM,currentpolicy_25ci_adv_nocip,2030,Offshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,28811383.2
PJM,currentpolicy_25ci_adv_nocip,2030,Onshore Wind,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,41283297.4
PJM,currentpolicy_25ci_adv_nocip,2030,Utility Solar,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,71167883.6
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Biomass,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Coal,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9.80575788
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,757695746
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas CT,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,324810.245
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Gas steam,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.34364308
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Hydro,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10580998.5
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Nuclear,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,56452034.1
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Offshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28811383.2
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Onshore Wind,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,41283297.4
PJM,currentpolicy_25ci_adv_nocip_noccszcf,2030,Utility Solar,"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,71167883.6
PJM,currentpolicy_25ci_nocip,2030,Biomass,"25% CI Part., Curt. Tech.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_25ci_nocip,2030,Coal,"25% CI Part., Curt. Tech.",No 24x7 Purchase,15.3251762
PJM,currentpolicy_25ci_nocip,2030,Gas CC,"25% CI Part., Curt. Tech.",No 24x7 Purchase,757613779
PJM,currentpolicy_25ci_nocip,2030,Gas CC w/CCS,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0
PJM,currentpolicy_25ci_nocip,2030,Gas CT,"25% CI Part., Curt. Tech.",No 24x7 Purchase,324906.666
PJM,currentpolicy_25ci_nocip,2030,Gas steam,"25% CI Part., Curt. Tech.",No 24x7 Purchase,0.53776981
PJM,currentpolicy_25ci_nocip,2030,Hydro,"25% CI Part., Curt. Tech.",No 24x7 Purchase,10587548.4
PJM,currentpolicy_25ci_nocip,2030,Nuclear,"25% CI Part., Curt. Tech.",No 24x7 Purchase,56452035.2
PJM,currentpolicy_25ci_nocip,2030,Offshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,28811383
PJM,currentpolicy_25ci_nocip,2030,Onshore Wind,"25% CI Part., Curt. Tech.",No 24x7 Purchase,41283298.8
PJM,currentpolicy_25ci_nocip,2030,Utility Solar,"25% CI Part., Curt. Tech.",No 24x7 Purchase,71167881.4
PJM,currentpolicy_5ci_adv_nocip,2030,Biomass,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,2209465.49
PJM,currentpolicy_5ci_adv_nocip,2030,Coal,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,11.854735
PJM,currentpolicy_5ci_adv_nocip,2030,Gas CC,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,757695577
PJM,currentpolicy_5ci_adv_nocip,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
PJM,currentpolicy_5ci_adv_nocip,2030,Gas CT,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,324808.651
PJM,currentpolicy_5ci_adv_nocip,2030,Gas steam,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.41339575
PJM,currentpolicy_5ci_adv_nocip,2030,Hydro,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,10580999
PJM,currentpolicy_5ci_adv_nocip,2030,Nuclear,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,56452034.5
PJM,currentpolicy_5ci_adv_nocip,2030,Offshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,28811382.4
PJM,currentpolicy_5ci_adv_nocip,2030,Onshore Wind,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,41283297.9
PJM,currentpolicy_5ci_adv_nocip,2030,Utility Solar,"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,71167883.3
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Biomass,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Coal,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,11.854735
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,757695577
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas CT,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,324808.651
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Gas steam,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.41339575
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Hydro,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10580999
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Nuclear,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,56452034.5
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Offshore Wind,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28811382.4
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Onshore Wind,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,41283297.9
PJM,currentpolicy_5ci_adv_nocip_noccszcf,2030,Utility Solar,"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,71167883.3
PJM,currentpolicy_5ci_nocip,2030,Biomass,"5% CI Part., Curt. Tech.",No 24x7 Purchase,2209465.49
PJM,currentpolicy_5ci_nocip,2030,Coal,"5% CI Part., Curt. Tech.",No 24x7 Purchase,19.3910377
PJM,currentpolicy_5ci_nocip,2030,Gas CC,"5% CI Part., Curt. Tech.",No 24x7 Purchase,757613744
PJM,currentpolicy_5ci_nocip,2030,Gas CC w/CCS,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0
PJM,currentpolicy_5ci_nocip,2030,Gas CT,"5% CI Part., Curt. Tech.",No 24x7 Purchase,324906.033
PJM,currentpolicy_5ci_nocip,2030,Gas steam,"5% CI Part., Curt. Tech.",No 24x7 Purchase,0.67892487
PJM,currentpolicy_5ci_nocip,2030,Hydro,"5% CI Part., Curt. Tech.",No 24x7 Purchase,10587548.4
PJM,currentpolicy_5ci_nocip,2030,Nuclear,"5% CI Part., Curt. Tech.",No 24x7 Purchase,56452036.1
PJM,currentpolicy_5ci_nocip,2030,Offshore Wind,"5% CI Part., Curt. Tech.",No 24x7 Purchase,28811382.9
PJM,currentpolicy_5ci_nocip,2030,Onshore Wind,"5% CI Part., Curt. Tech.",No 24x7 Purchase,41283299.8
PJM,currentpolicy_5ci_nocip,2030,Utility Solar,"5% CI Part., Curt. Tech.",No 24x7 Purchase,71167880.7
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,2209465.49
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Coal,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,5.16225971
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,168353915
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,1049136.52
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Gas steam,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,0.9848135
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,10522393.5
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,214443577
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,28569105.6
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,185436784
PJM,currentpolicy_80CES_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,217452287
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,2209465.49
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Coal,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,5.16225971
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,168353915
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,1049136.52
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Gas steam,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,0.9848135
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,10522393.5
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,214443577
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,28569105.6
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,185436784
PJM,currentpolicy_80CES_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,217452287
PJM,currentpolicy_80CES_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,2209465.49
PJM,currentpolicy_80CES_10ci_nocip,2030,Coal,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,5.09641339
PJM,currentpolicy_80CES_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,168370872
PJM,currentpolicy_80CES_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,0
PJM,currentpolicy_80CES_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1049231.86
PJM,currentpolicy_80CES_10ci_nocip,2030,Gas steam,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1.00060424
PJM,currentpolicy_80CES_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,10530646.4
PJM,currentpolicy_80CES_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,214444319
PJM,currentpolicy_80CES_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,28570890.8
PJM,currentpolicy_80CES_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,185424078
PJM,currentpolicy_80CES_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,217454222