case,year,Scenario,TechSensitivity,nonsrec_energy_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,76130637.87670237
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,68350249.92670572
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,65191813.734153144
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,94073838.27775298
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,75715014.72183296
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,74897103.37984042
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,75980833.9055776
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,74239256.25889915
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,74438401.60226397
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,66110503.269744344
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,56868156.59659514
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,54023740.71935175
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,76031858.05931528
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,60102280.39134793
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,57234926.38581559
currentpolicy_mid,2030,Current Policy (CP),Mid,76130533.76425715
currentpolicy_mid,2040,Current Policy (CP),Mid,68390106.99575454
currentpolicy_mid,2050,Current Policy (CP),Mid,64537228.263094135
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,75264089.55209225
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,67064335.572274834
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,62583976.92212421
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,76556002.22159684
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,72884848.05900288
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,76117014.44132401
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,214416129.25332475
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,415258892.9319432
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,587247099.7197652
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,216476373.56470823
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,420299086.1531737
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,616990993.8821565
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,244059509.3551551
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,553366316.1790689
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,659112883.2868352
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2030,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,214415907.97752613
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2040,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,415259230.74077725
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2050,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,587246150.9025068
deepdecarbonization_dgsolar_instaterps_highngcost,2030,DD + High Solar + 80% Instate,High NatGas Price,216477625.9691204
deepdecarbonization_dgsolar_instaterps_highngcost,2040,DD + High Solar + 80% Instate,High NatGas Price,420295888.61881506
deepdecarbonization_dgsolar_instaterps_highngcost,2050,DD + High Solar + 80% Instate,High NatGas Price,616469091.5369399
deepdecarbonization_dgsolar_instaterps_highrecost,2030,DD + High Solar + 80% Instate,High RE/BESS Cost,244060361.70799282
deepdecarbonization_dgsolar_instaterps_highrecost,2040,DD + High Solar + 80% Instate,High RE/BESS Cost,553367185.8071418
deepdecarbonization_dgsolar_instaterps_highrecost,2050,DD + High Solar + 80% Instate,High RE/BESS Cost,640687501.1320502
deepdecarbonization_dgsolar_instaterps_lowngcost,2030,DD + High Solar + 80% Instate,Low NatGas Price,216830113.00834835
deepdecarbonization_dgsolar_instaterps_lowngcost,2040,DD + High Solar + 80% Instate,Low NatGas Price,418187153.1446652
deepdecarbonization_dgsolar_instaterps_lowngcost,2050,DD + High Solar + 80% Instate,Low NatGas Price,593968312.1317998
deepdecarbonization_dgsolar_instaterps_lowrecost,2030,DD + High Solar + 80% Instate,Low RE/BESS Cost,196196324.63954532
deepdecarbonization_dgsolar_instaterps_lowrecost,2040,DD + High Solar + 80% Instate,Low RE/BESS Cost,363515126.65573215
deepdecarbonization_dgsolar_instaterps_lowrecost,2050,DD + High Solar + 80% Instate,Low RE/BESS Cost,565157711.3266685
deepdecarbonization_dgsolar_instaterps_mid,2030,DD + High Solar + 80% Instate,Mid,214415907.97752613
deepdecarbonization_dgsolar_instaterps_mid,2040,DD + High Solar + 80% Instate,Mid,418065350.2309152
deepdecarbonization_dgsolar_instaterps_mid,2050,DD + High Solar + 80% Instate,Mid,623426480.748847
deepdecarbonization_dgsolar_instaterps_noflexibleload,2030,DD + High Solar + 80% Instate,No Flexible Load,212255722.21560663
deepdecarbonization_dgsolar_instaterps_noflexibleload,2040,DD + High Solar + 80% Instate,No Flexible Load,448653507.6612443
deepdecarbonization_dgsolar_instaterps_noflexibleload,2050,DD + High Solar + 80% Instate,No Flexible Load,682117740.2669475
deepdecarbonization_dgsolar_instaterps_nointertrans,2030,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,215119143.20059806
deepdecarbonization_dgsolar_instaterps_nointertrans,2040,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,419562136.58537877
deepdecarbonization_dgsolar_instaterps_nointertrans,2050,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,613085357.828919
deepdecarbonization_dgsolar_lowngcost,2030,DD + High Solar,Low NatGas Price,216830538.95077956
deepdecarbonization_dgsolar_lowngcost,2040,DD + High Solar,Low NatGas Price,418182894.2351459
deepdecarbonization_dgsolar_lowngcost,2050,DD + High Solar,Low NatGas Price,595605254.8898599
deepdecarbonization_dgsolar_lowrecost,2030,DD + High Solar,Low RE/BESS Cost,196196214.0737728
deepdecarbonization_dgsolar_lowrecost,2040,DD + High Solar,Low RE/BESS Cost,363536626.71983314
deepdecarbonization_dgsolar_lowrecost,2050,DD + High Solar,Low RE/BESS Cost,565160764.5264877
deepdecarbonization_dgsolar_mid,2030,DD + High Solar,Mid,214416129.25332475
deepdecarbonization_dgsolar_mid,2040,DD + High Solar,Mid,418064738.14079225
deepdecarbonization_dgsolar_mid,2050,DD + High Solar,Mid,623392787.9749106
deepdecarbonization_dgsolar_noflexibleload,2030,DD + High Solar,No Flexible Load,212254173.16349202
deepdecarbonization_dgsolar_noflexibleload,2040,DD + High Solar,No Flexible Load,448650711.80751765
deepdecarbonization_dgsolar_noflexibleload,2050,DD + High Solar,No Flexible Load,682129811.023195
deepdecarbonization_dgsolar_nointertrans,2030,DD + High Solar,No Interregional Transmission Upgrade,215119302.36506945
deepdecarbonization_dgsolar_nointertrans,2040,DD + High Solar,No Interregional Transmission Upgrade,419562501.86848533
deepdecarbonization_dgsolar_nointertrans,2050,DD + High Solar,No Interregional Transmission Upgrade,613082575.6191653
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2030,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,214416129.25332475
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2040,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,415259057.9518782
deepdecarbonization_dgsolar_nuclear_doublezcfcost,2050,DD + High Solar + Nuclear,Doubled ZCF Fuel Price,587251463.3306651
deepdecarbonization_dgsolar_nuclear_highngcost,2030,DD + High Solar + Nuclear,High NatGas Price,216476373.56470823
deepdecarbonization_dgsolar_nuclear_highngcost,2040,DD + High Solar + Nuclear,High NatGas Price,420296629.0544092
deepdecarbonization_dgsolar_nuclear_highngcost,2050,DD + High Solar + Nuclear,High NatGas Price,617005927.4156196
deepdecarbonization_dgsolar_nuclear_highrecost,2030,DD + High Solar + Nuclear,High RE/BESS Cost,244061393.53657618
deepdecarbonization_dgsolar_nuclear_highrecost,2040,DD + High Solar + Nuclear,High RE/BESS Cost,553397120.887796
deepdecarbonization_dgsolar_nuclear_highrecost,2050,DD + High Solar + Nuclear,High RE/BESS Cost,659120835.4322972
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2030,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,214415907.97752613
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2040,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,415258980.5199459
deepdecarbonization_dgsolar_nuclear_instaterps_doublezcfcost,2050,DD + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,587247277.5941098
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2030,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,216477625.9691204
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2040,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,420297025.01086473
deepdecarbonization_dgsolar_nuclear_instaterps_highngcost,2050,DD + High Solar + Nuclear + 80% Instate,High NatGas Price,616418707.9749016
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2030,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,244060361.70799282
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2040,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,553368263.7238413
deepdecarbonization_dgsolar_nuclear_instaterps_highrecost,2050,DD + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,640688559.5932926
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2030,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,216830113.00834835
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2040,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,418184440.5570419
deepdecarbonization_dgsolar_nuclear_instaterps_lowngcost,2050,DD + High Solar + Nuclear + 80% Instate,Low NatGas Price,593967610.2413375
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2030,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,196196324.63954532
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2040,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,363525886.05422586
deepdecarbonization_dgsolar_nuclear_instaterps_lowrecost,2050,DD + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,565176224.5621105
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2030,DD + High Solar + Nuclear + 80% Instate,Mid,214415907.97752613
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2040,DD + High Solar + Nuclear + 80% Instate,Mid,418064077.32612526
deepdecarbonization_dgsolar_nuclear_instaterps_mid,2050,DD + High Solar + Nuclear + 80% Instate,Mid,623409281.1860242
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2030,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,212255722.21560663
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2040,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,448654287.614923
deepdecarbonization_dgsolar_nuclear_instaterps_noflexibleload,2050,DD + High Solar + Nuclear + 80% Instate,No Flexible Load,682121303.3329691
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2030,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,215119143.20059806
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2040,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,419562696.7129433
deepdecarbonization_dgsolar_nuclear_instaterps_nointertrans,2050,DD + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,613085147.511158
deepdecarbonization_dgsolar_nuclear_lowngcost,2030,DD + High Solar + Nuclear,Low NatGas Price,216830538.95077956
deepdecarbonization_dgsolar_nuclear_lowngcost,2040,DD + High Solar + Nuclear,Low NatGas Price,418190832.47076154
deepdecarbonization_dgsolar_nuclear_lowngcost,2050,DD + High Solar + Nuclear,Low NatGas Price,595607850.919031
deepdecarbonization_dgsolar_nuclear_lowrecost,2030,DD + High Solar + Nuclear,Low RE/BESS Cost,196196214.0737728
deepdecarbonization_dgsolar_nuclear_lowrecost,2040,DD + High Solar + Nuclear,Low RE/BESS Cost,363542027.2646369
deepdecarbonization_dgsolar_nuclear_lowrecost,2050,DD + High Solar + Nuclear,Low RE/BESS Cost,565177393.8799149
deepdecarbonization_dgsolar_nuclear_mid,2030,DD + High Solar + Nuclear,Mid,214416129.25332475
deepdecarbonization_dgsolar_nuclear_mid,2040,DD + High Solar + Nuclear,Mid,418065429.23822415
deepdecarbonization_dgsolar_nuclear_mid,2050,DD + High Solar + Nuclear,Mid,623414417.4859107
deepdecarbonization_dgsolar_nuclear_noflexibleload,2030,DD + High Solar + Nuclear,No Flexible Load,212254173.16349202
deepdecarbonization_dgsolar_nuclear_noflexibleload,2040,DD + High Solar + Nuclear,No Flexible Load,448651462.02919686
deepdecarbonization_dgsolar_nuclear_noflexibleload,2050,DD + High Solar + Nuclear,No Flexible Load,682131986.8538233
deepdecarbonization_dgsolar_nuclear_nointertrans,2030,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,215119302.36506945
deepdecarbonization_dgsolar_nuclear_nointertrans,2040,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,419562470.7435361
deepdecarbonization_dgsolar_nuclear_nointertrans,2050,DD + High Solar + Nuclear,No Interregional Transmission Upgrade,613077014.9507333
deepdecarbonization_doublezcfcost,2030,Deep Decarbonization (DD),Doubled ZCF Fuel Price,98648009.08717632
deepdecarbonization_doublezcfcost,2040,Deep Decarbonization (DD),Doubled ZCF Fuel Price,84464025.12402435
deepdecarbonization_doublezcfcost,2050,Deep Decarbonization (DD),Doubled ZCF Fuel Price,79317730.92680055
deepdecarbonization_highngcost,2030,Deep Decarbonization (DD),High NatGas Price,101231679.66478735
deepdecarbonization_highngcost,2040,Deep Decarbonization (DD),High NatGas Price,84201735.60582614
deepdecarbonization_highngcost,2050,Deep Decarbonization (DD),High NatGas Price,80740712.25656281
deepdecarbonization_highrecost,2030,Deep Decarbonization (DD),High RE/BESS Cost,112244110.00019869
deepdecarbonization_highrecost,2040,Deep Decarbonization (DD),High RE/BESS Cost,114520583.0756743
deepdecarbonization_highrecost,2050,Deep Decarbonization (DD),High RE/BESS Cost,93805193.21428815
deepdecarbonization_instaterps_doublezcfcost,2030,DD + 80% Instate,Doubled ZCF Fuel Price,98648001.57699245
deepdecarbonization_instaterps_doublezcfcost,2040,DD + 80% Instate,Doubled ZCF Fuel Price,79278407.27232355
deepdecarbonization_instaterps_doublezcfcost,2050,DD + 80% Instate,Doubled ZCF Fuel Price,76479796.82224396
deepdecarbonization_instaterps_highngcost,2030,DD + 80% Instate,High NatGas Price,101231803.39457852
deepdecarbonization_instaterps_highngcost,2040,DD + 80% Instate,High NatGas Price,79068725.66350263
deepdecarbonization_instaterps_highngcost,2050,DD + 80% Instate,High NatGas Price,79724768.49670365
deepdecarbonization_instaterps_highrecost,2030,DD + 80% Instate,High RE/BESS Cost,112244180.9215982
deepdecarbonization_instaterps_highrecost,2040,DD + 80% Instate,High RE/BESS Cost,106947613.60881843
deepdecarbonization_instaterps_highrecost,2050,DD + 80% Instate,High RE/BESS Cost,81206737.20332155
deepdecarbonization_instaterps_lowngcost,2030,DD + 80% Instate,Low NatGas Price,99570325.65197551
deepdecarbonization_instaterps_lowngcost,2040,DD + 80% Instate,Low NatGas Price,80149980.31429406
deepdecarbonization_instaterps_lowngcost,2050,DD + 80% Instate,Low NatGas Price,74007161.31630513
deepdecarbonization_instaterps_lowrecost,2030,DD + 80% Instate,Low RE/BESS Cost,90372585.86042826
deepdecarbonization_instaterps_lowrecost,2040,DD + 80% Instate,Low RE/BESS Cost,69712931.34959748
deepdecarbonization_instaterps_lowrecost,2050,DD + 80% Instate,Low RE/BESS Cost,74500663.94215998
deepdecarbonization_instaterps_mid,2030,DD + 80% Instate,Mid,98648001.57699245
deepdecarbonization_instaterps_mid,2040,DD + 80% Instate,Mid,79917921.82473162
deepdecarbonization_instaterps_mid,2050,DD + 80% Instate,Mid,78543769.22395998
deepdecarbonization_instaterps_noflexibleload,2030,DD + 80% Instate,No Flexible Load,97981088.44073606
deepdecarbonization_instaterps_noflexibleload,2040,DD + 80% Instate,No Flexible Load,86092466.77848454
deepdecarbonization_instaterps_noflexibleload,2050,DD + 80% Instate,No Flexible Load,86660431.87582919
deepdecarbonization_instaterps_nointertrans,2030,DD + 80% Instate,No Interregional Transmission Upgrade,99615400.57553127
deepdecarbonization_instaterps_nointertrans,2040,DD + 80% Instate,No Interregional Transmission Upgrade,81711624.81479885
deepdecarbonization_instaterps_nointertrans,2050,DD + 80% Instate,No Interregional Transmission Upgrade,77364550.87440582
deepdecarbonization_lowngcost,2030,Deep Decarbonization (DD),Low NatGas Price,99570311.58016837
deepdecarbonization_lowngcost,2040,Deep Decarbonization (DD),Low NatGas Price,85219579.13010597
deepdecarbonization_lowngcost,2050,Deep Decarbonization (DD),Low NatGas Price,78060596.13507631
deepdecarbonization_lowrecost,2030,Deep Decarbonization (DD),Low RE/BESS Cost,90372503.53096063
deepdecarbonization_lowrecost,2040,Deep Decarbonization (DD),Low RE/BESS Cost,73562241.99421087
deepdecarbonization_lowrecost,2050,Deep Decarbonization (DD),Low RE/BESS Cost,74558086.82310867
deepdecarbonization_mid,2030,Deep Decarbonization (DD),Mid,98648009.08717632
deepdecarbonization_mid,2040,Deep Decarbonization (DD),Mid,84815016.77817924
deepdecarbonization_mid,2050,Deep Decarbonization (DD),Mid,81122964.70690927
deepdecarbonization_noflexibleload,2030,Deep Decarbonization (DD),No Flexible Load,97981792.01136208
deepdecarbonization_noflexibleload,2040,Deep Decarbonization (DD),No Flexible Load,89248464.41311142
deepdecarbonization_noflexibleload,2050,Deep Decarbonization (DD),No Flexible Load,89355918.89453429
deepdecarbonization_nointertrans,2030,Deep Decarbonization (DD),No Interregional Transmission Upgrade,99615581.80161387
deepdecarbonization_nointertrans,2040,Deep Decarbonization (DD),No Interregional Transmission Upgrade,85463115.952586025
deepdecarbonization_nointertrans,2050,Deep Decarbonization (DD),No Interregional Transmission Upgrade,80755006.47540554
deepdecarbonization_nuclear_doublezcfcost,2030,DD + Nuclear,Doubled ZCF Fuel Price,98648009.08717632
deepdecarbonization_nuclear_doublezcfcost,2040,DD + Nuclear,Doubled ZCF Fuel Price,84464164.02892566
deepdecarbonization_nuclear_doublezcfcost,2050,DD + Nuclear,Doubled ZCF Fuel Price,79317462.90500689
deepdecarbonization_nuclear_highngcost,2030,DD + Nuclear,High NatGas Price,101231679.66478735
deepdecarbonization_nuclear_highngcost,2040,DD + Nuclear,High NatGas Price,84200709.15767725
deepdecarbonization_nuclear_highngcost,2050,DD + Nuclear,High NatGas Price,80740926.50569984
deepdecarbonization_nuclear_highrecost,2030,DD + Nuclear,High RE/BESS Cost,112243800.29741874
deepdecarbonization_nuclear_highrecost,2040,DD + Nuclear,High RE/BESS Cost,114520408.64258702
deepdecarbonization_nuclear_highrecost,2050,DD + Nuclear,High RE/BESS Cost,93804456.4679868
deepdecarbonization_nuclear_instaterps_doublezcfcost,2030,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,98648001.57699245
deepdecarbonization_nuclear_instaterps_doublezcfcost,2040,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,79278626.71467188
deepdecarbonization_nuclear_instaterps_doublezcfcost,2050,DD + Nuclear + 80% Instate,Doubled ZCF Fuel Price,76479465.42318808
deepdecarbonization_nuclear_instaterps_highngcost,2030,DD + Nuclear + 80% Instate,High NatGas Price,101231803.39457852
deepdecarbonization_nuclear_instaterps_highngcost,2040,DD + Nuclear + 80% Instate,High NatGas Price,79068539.8052513
deepdecarbonization_nuclear_instaterps_highngcost,2050,DD + Nuclear + 80% Instate,High NatGas Price,79723998.59504539
deepdecarbonization_nuclear_instaterps_highrecost,2030,DD + Nuclear + 80% Instate,High RE/BESS Cost,112244207.52009031
deepdecarbonization_nuclear_instaterps_highrecost,2040,DD + Nuclear + 80% Instate,High RE/BESS Cost,106946988.98550001
deepdecarbonization_nuclear_instaterps_highrecost,2050,DD + Nuclear + 80% Instate,High RE/BESS Cost,81207337.24405144
deepdecarbonization_nuclear_instaterps_lowngcost,2030,DD + Nuclear + 80% Instate,Low NatGas Price,99570325.65197551
deepdecarbonization_nuclear_instaterps_lowngcost,2040,DD + Nuclear + 80% Instate,Low NatGas Price,80150006.70136374
deepdecarbonization_nuclear_instaterps_lowngcost,2050,DD + Nuclear + 80% Instate,Low NatGas Price,74006794.9183282
deepdecarbonization_nuclear_instaterps_lowrecost,2030,DD + Nuclear + 80% Instate,Low RE/BESS Cost,90372585.86042826
deepdecarbonization_nuclear_instaterps_lowrecost,2040,DD + Nuclear + 80% Instate,Low RE/BESS Cost,69712935.28508663
deepdecarbonization_nuclear_instaterps_lowrecost,2050,DD + Nuclear + 80% Instate,Low RE/BESS Cost,74501856.54052451
deepdecarbonization_nuclear_instaterps_mid,2030,DD + Nuclear + 80% Instate,Mid,98648001.57699245
deepdecarbonization_nuclear_instaterps_mid,2040,DD + Nuclear + 80% Instate,Mid,79917840.55966935
deepdecarbonization_nuclear_instaterps_mid,2050,DD + Nuclear + 80% Instate,Mid,78542644.52972902
deepdecarbonization_nuclear_instaterps_noflexibleload,2030,DD + Nuclear + 80% Instate,No Flexible Load,97981088.44073606
deepdecarbonization_nuclear_instaterps_noflexibleload,2040,DD + Nuclear + 80% Instate,No Flexible Load,86092140.23020789
