case,year,Scenario,TechSensitivity,nonsrec_energy_revenue
deepdecarbonization_nuclear_instaterps_noflexibleload,2050,DD + Nuclear + 80% Instate,No Flexible Load,86660337.40949418
deepdecarbonization_nuclear_instaterps_nointertrans,2030,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,99615400.57553127
deepdecarbonization_nuclear_instaterps_nointertrans,2040,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,81711802.30409026
deepdecarbonization_nuclear_instaterps_nointertrans,2050,DD + Nuclear + 80% Instate,No Interregional Transmission Upgrade,77364623.27712768
deepdecarbonization_nuclear_lowngcost,2030,DD + Nuclear,Low NatGas Price,99570311.58016837
deepdecarbonization_nuclear_lowngcost,2040,DD + Nuclear,Low NatGas Price,85219540.65955263
deepdecarbonization_nuclear_lowngcost,2050,DD + Nuclear,Low NatGas Price,78061098.26210935
deepdecarbonization_nuclear_lowrecost,2030,DD + Nuclear,Low RE/BESS Cost,90372503.53096063
deepdecarbonization_nuclear_lowrecost,2040,DD + Nuclear,Low RE/BESS Cost,73562306.21140265
deepdecarbonization_nuclear_lowrecost,2050,DD + Nuclear,Low RE/BESS Cost,74558107.96524838
deepdecarbonization_nuclear_mid,2030,DD + Nuclear,Mid,98648009.08717632
deepdecarbonization_nuclear_mid,2040,DD + Nuclear,Mid,84815019.19080465
deepdecarbonization_nuclear_mid,2050,DD + Nuclear,Mid,81123320.01585436
deepdecarbonization_nuclear_noflexibleload,2030,DD + Nuclear,No Flexible Load,97981792.01136208
deepdecarbonization_nuclear_noflexibleload,2040,DD + Nuclear,No Flexible Load,89248555.56699052
deepdecarbonization_nuclear_noflexibleload,2050,DD + Nuclear,No Flexible Load,89355786.00031856
deepdecarbonization_nuclear_nointertrans,2030,DD + Nuclear,No Interregional Transmission Upgrade,99615581.80161387
deepdecarbonization_nuclear_nointertrans,2040,DD + Nuclear,No Interregional Transmission Upgrade,85463147.39869228
deepdecarbonization_nuclear_nointertrans,2050,DD + Nuclear,No Interregional Transmission Upgrade,80754938.24807121
statedpolicy_dgsolar_doublezcfcost,2030,SP + High Solar,Doubled ZCF Fuel Price,177002317.8155023
statedpolicy_dgsolar_doublezcfcost,2040,SP + High Solar,Doubled ZCF Fuel Price,371542500.2195341
statedpolicy_dgsolar_doublezcfcost,2050,SP + High Solar,Doubled ZCF Fuel Price,555999385.4178207
statedpolicy_dgsolar_highngcost,2030,SP + High Solar,High NatGas Price,200993192.94936618
statedpolicy_dgsolar_highngcost,2040,SP + High Solar,High NatGas Price,366246626.30785847
statedpolicy_dgsolar_highngcost,2050,SP + High Solar,High NatGas Price,524303443.3018036
statedpolicy_dgsolar_highrecost,2030,SP + High Solar,High RE/BESS Cost,177810259.35543895
statedpolicy_dgsolar_highrecost,2040,SP + High Solar,High RE/BESS Cost,398673363.0104558
statedpolicy_dgsolar_highrecost,2050,SP + High Solar,High RE/BESS Cost,593192205.7885976
statedpolicy_dgsolar_instaterps_doublezcfcost,2030,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,177001982.5280104
statedpolicy_dgsolar_instaterps_doublezcfcost,2040,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,362335552.02392167
statedpolicy_dgsolar_instaterps_doublezcfcost,2050,SP + High Solar + 80% Instate,Doubled ZCF Fuel Price,408422056.614298
statedpolicy_dgsolar_instaterps_highngcost,2030,SP + High Solar + 80% Instate,High NatGas Price,200993023.94803047
statedpolicy_dgsolar_instaterps_highngcost,2040,SP + High Solar + 80% Instate,High NatGas Price,360785305.3952528
statedpolicy_dgsolar_instaterps_highngcost,2050,SP + High Solar + 80% Instate,High NatGas Price,395296773.31406045
statedpolicy_dgsolar_instaterps_highrecost,2030,SP + High Solar + 80% Instate,High RE/BESS Cost,177810376.00868636
statedpolicy_dgsolar_instaterps_highrecost,2040,SP + High Solar + 80% Instate,High RE/BESS Cost,392860814.61393005
statedpolicy_dgsolar_instaterps_highrecost,2050,SP + High Solar + 80% Instate,High RE/BESS Cost,396473816.3522599
statedpolicy_dgsolar_instaterps_lowngcost,2030,SP + High Solar + 80% Instate,Low NatGas Price,149035749.551169
statedpolicy_dgsolar_instaterps_lowngcost,2040,SP + High Solar + 80% Instate,Low NatGas Price,274589644.2509819
statedpolicy_dgsolar_instaterps_lowngcost,2050,SP + High Solar + 80% Instate,Low NatGas Price,214366560.01015368
statedpolicy_dgsolar_instaterps_lowrecost,2030,SP + High Solar + 80% Instate,Low RE/BESS Cost,175659895.79686463
statedpolicy_dgsolar_instaterps_lowrecost,2040,SP + High Solar + 80% Instate,Low RE/BESS Cost,291522566.51084167
statedpolicy_dgsolar_instaterps_lowrecost,2050,SP + High Solar + 80% Instate,Low RE/BESS Cost,360424934.5135978
statedpolicy_dgsolar_instaterps_mid,2030,SP + High Solar + 80% Instate,Mid,177001982.5280104
statedpolicy_dgsolar_instaterps_mid,2040,SP + High Solar + 80% Instate,Mid,357054047.877721
statedpolicy_dgsolar_instaterps_mid,2050,SP + High Solar + 80% Instate,Mid,355358736.583324
statedpolicy_dgsolar_instaterps_noflexibleload,2030,SP + High Solar + 80% Instate,No Flexible Load,175118120.56219208
statedpolicy_dgsolar_instaterps_noflexibleload,2040,SP + High Solar + 80% Instate,No Flexible Load,340834909.02622473
statedpolicy_dgsolar_instaterps_noflexibleload,2050,SP + High Solar + 80% Instate,No Flexible Load,390026028.52514297
statedpolicy_dgsolar_instaterps_nointertrans,2030,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,173865971.6431652
statedpolicy_dgsolar_instaterps_nointertrans,2040,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,371167030.0617573
statedpolicy_dgsolar_instaterps_nointertrans,2050,SP + High Solar + 80% Instate,No Interregional Transmission Upgrade,409000409.2342871
statedpolicy_dgsolar_lowngcost,2030,SP + High Solar,Low NatGas Price,149036794.9513396
statedpolicy_dgsolar_lowngcost,2040,SP + High Solar,Low NatGas Price,296260970.0456778
statedpolicy_dgsolar_lowngcost,2050,SP + High Solar,Low NatGas Price,428188457.57564217
statedpolicy_dgsolar_lowrecost,2030,SP + High Solar,Low RE/BESS Cost,175659923.36879978
statedpolicy_dgsolar_lowrecost,2040,SP + High Solar,Low RE/BESS Cost,307368525.91696215
statedpolicy_dgsolar_lowrecost,2050,SP + High Solar,Low RE/BESS Cost,448746907.42945915
statedpolicy_dgsolar_mid,2030,SP + High Solar,Mid,177002317.8155023
statedpolicy_dgsolar_mid,2040,SP + High Solar,Mid,368386788.9716251
statedpolicy_dgsolar_mid,2050,SP + High Solar,Mid,514596537.4147201
statedpolicy_dgsolar_noflexibleload,2030,SP + High Solar,No Flexible Load,175116190.9120372
statedpolicy_dgsolar_noflexibleload,2040,SP + High Solar,No Flexible Load,351638063.3682587
statedpolicy_dgsolar_noflexibleload,2050,SP + High Solar,No Flexible Load,516094710.4504094
statedpolicy_dgsolar_nointertrans,2030,SP + High Solar,No Interregional Transmission Upgrade,173866226.0320537
statedpolicy_dgsolar_nointertrans,2040,SP + High Solar,No Interregional Transmission Upgrade,380219339.4621061
statedpolicy_dgsolar_nointertrans,2050,SP + High Solar,No Interregional Transmission Upgrade,552400015.6734049
statedpolicy_dgsolar_nuclear_doublezcfcost,2030,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,177002317.8155023
statedpolicy_dgsolar_nuclear_doublezcfcost,2040,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,343269947.3060314
statedpolicy_dgsolar_nuclear_doublezcfcost,2050,SP + High Solar + Nuclear,Doubled ZCF Fuel Price,514197863.3500912
statedpolicy_dgsolar_nuclear_highngcost,2030,SP + High Solar + Nuclear,High NatGas Price,200993192.94936618
statedpolicy_dgsolar_nuclear_highngcost,2040,SP + High Solar + Nuclear,High NatGas Price,346520942.2888841
statedpolicy_dgsolar_nuclear_highngcost,2050,SP + High Solar + Nuclear,High NatGas Price,485850973.8986833
statedpolicy_dgsolar_nuclear_highrecost,2030,SP + High Solar + Nuclear,High RE/BESS Cost,177810346.70505458
statedpolicy_dgsolar_nuclear_highrecost,2040,SP + High Solar + Nuclear,High RE/BESS Cost,367219975.1533663
statedpolicy_dgsolar_nuclear_highrecost,2050,SP + High Solar + Nuclear,High RE/BESS Cost,556546744.1569346
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2030,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,177001982.5280104
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2040,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,343269163.57337016
statedpolicy_dgsolar_nuclear_instaterps_doublezcfcost,2050,SP + High Solar + Nuclear + 80% Instate,Doubled ZCF Fuel Price,497569623.0585512
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2030,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,200993023.94803047
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2040,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,346525781.8208699
statedpolicy_dgsolar_nuclear_instaterps_highngcost,2050,SP + High Solar + Nuclear + 80% Instate,High NatGas Price,476690117.2646316
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2030,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,177810376.00868636
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2040,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,367206553.9593463
statedpolicy_dgsolar_nuclear_instaterps_highrecost,2050,SP + High Solar + Nuclear + 80% Instate,High RE/BESS Cost,533995121.20539033
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2030,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,149035749.551169
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2040,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,266288321.79462957
statedpolicy_dgsolar_nuclear_instaterps_lowngcost,2050,SP + High Solar + Nuclear + 80% Instate,Low NatGas Price,366257114.6831893
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2030,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,175659895.79686463
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2040,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,291393736.4847394
statedpolicy_dgsolar_nuclear_instaterps_lowrecost,2050,SP + High Solar + Nuclear + 80% Instate,Low RE/BESS Cost,424669430.0266795
statedpolicy_dgsolar_nuclear_instaterps_mid,2030,SP + High Solar + Nuclear + 80% Instate,Mid,177001982.5280104
statedpolicy_dgsolar_nuclear_instaterps_mid,2040,SP + High Solar + Nuclear + 80% Instate,Mid,337740037.9062676
statedpolicy_dgsolar_nuclear_instaterps_mid,2050,SP + High Solar + Nuclear + 80% Instate,Mid,459943906.7657429
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2030,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,175118120.56219208
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2040,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,328271927.9245865
statedpolicy_dgsolar_nuclear_instaterps_noflexibleload,2050,SP + High Solar + Nuclear + 80% Instate,No Flexible Load,465631111.0264741
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2030,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,173865971.6431652
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2040,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,364814122.34596217
statedpolicy_dgsolar_nuclear_instaterps_nointertrans,2050,SP + High Solar + Nuclear + 80% Instate,No Interregional Transmission Upgrade,528735356.82568246
statedpolicy_dgsolar_nuclear_lowngcost,2030,SP + High Solar + Nuclear,Low NatGas Price,149036794.9513396
statedpolicy_dgsolar_nuclear_lowngcost,2040,SP + High Solar + Nuclear,Low NatGas Price,266286228.29842907
statedpolicy_dgsolar_nuclear_lowngcost,2050,SP + High Solar + Nuclear,Low NatGas Price,399657969.2831253
statedpolicy_dgsolar_nuclear_lowrecost,2030,SP + High Solar + Nuclear,Low RE/BESS Cost,175659946.46932554
statedpolicy_dgsolar_nuclear_lowrecost,2040,SP + High Solar + Nuclear,Low RE/BESS Cost,291394026.27645516
statedpolicy_dgsolar_nuclear_lowrecost,2050,SP + High Solar + Nuclear,Low RE/BESS Cost,435765074.43367934
statedpolicy_dgsolar_nuclear_mid,2030,SP + High Solar + Nuclear,Mid,177002317.8155023
statedpolicy_dgsolar_nuclear_mid,2040,SP + High Solar + Nuclear,Mid,337739516.8498687
statedpolicy_dgsolar_nuclear_mid,2050,SP + High Solar + Nuclear,Mid,478311505.83005965
statedpolicy_dgsolar_nuclear_noflexibleload,2030,SP + High Solar + Nuclear,No Flexible Load,175116190.9120372
statedpolicy_dgsolar_nuclear_noflexibleload,2040,SP + High Solar + Nuclear,No Flexible Load,328270565.49223775
statedpolicy_dgsolar_nuclear_noflexibleload,2050,SP + High Solar + Nuclear,No Flexible Load,482193490.76616025
statedpolicy_dgsolar_nuclear_nointertrans,2030,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,173866226.0320537
statedpolicy_dgsolar_nuclear_nointertrans,2040,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,364812485.94855994
statedpolicy_dgsolar_nuclear_nointertrans,2050,SP + High Solar + Nuclear,No Interregional Transmission Upgrade,538697358.00512
statedpolicy_doublezcfcost,2030,Stated Policy (SP),Doubled ZCF Fuel Price,82298176.59973274
statedpolicy_doublezcfcost,2040,Stated Policy (SP),Doubled ZCF Fuel Price,78854785.43060774
statedpolicy_doublezcfcost,2050,Stated Policy (SP),Doubled ZCF Fuel Price,78037720.12645751
statedpolicy_highngcost,2030,Stated Policy (SP),High NatGas Price,94608361.20672776
statedpolicy_highngcost,2040,Stated Policy (SP),High NatGas Price,78625952.6174369
statedpolicy_highngcost,2050,Stated Policy (SP),High NatGas Price,75320684.1214463
statedpolicy_highrecost,2030,Stated Policy (SP),High RE/BESS Cost,82943221.06429851
statedpolicy_highrecost,2040,Stated Policy (SP),High RE/BESS Cost,82335006.77993497
statedpolicy_highrecost,2050,Stated Policy (SP),High RE/BESS Cost,85451486.14805731
statedpolicy_instaterps_doublezcfcost,2030,SP + 80% Instate,Doubled ZCF Fuel Price,82298201.57137391
statedpolicy_instaterps_doublezcfcost,2040,SP + 80% Instate,Doubled ZCF Fuel Price,70979683.64193451
statedpolicy_instaterps_doublezcfcost,2050,SP + 80% Instate,Doubled ZCF Fuel Price,52537041.5431994
statedpolicy_instaterps_highngcost,2030,SP + 80% Instate,High NatGas Price,94608305.38042751
statedpolicy_instaterps_highngcost,2040,SP + 80% Instate,High NatGas Price,69034910.687512815
statedpolicy_instaterps_highngcost,2050,SP + 80% Instate,High NatGas Price,54905325.71377014
statedpolicy_instaterps_highrecost,2030,SP + 80% Instate,High RE/BESS Cost,82942872.94779527
statedpolicy_instaterps_highrecost,2040,SP + 80% Instate,High RE/BESS Cost,74787717.9118953
statedpolicy_instaterps_highrecost,2050,SP + 80% Instate,High RE/BESS Cost,45324559.629767135
statedpolicy_instaterps_lowngcost,2030,SP + 80% Instate,Low NatGas Price,69518336.81507188
statedpolicy_instaterps_lowngcost,2040,SP + 80% Instate,Low NatGas Price,52369016.87136012
statedpolicy_instaterps_lowngcost,2050,SP + 80% Instate,Low NatGas Price,35467237.312676616
statedpolicy_instaterps_lowrecost,2030,SP + 80% Instate,Low RE/BESS Cost,81650876.42644146
statedpolicy_instaterps_lowrecost,2040,SP + 80% Instate,Low RE/BESS Cost,55252152.963149525
statedpolicy_instaterps_lowrecost,2050,SP + 80% Instate,Low RE/BESS Cost,47368466.782032736
statedpolicy_instaterps_mid,2030,SP + 80% Instate,Mid,82298201.57137391
statedpolicy_instaterps_mid,2040,SP + 80% Instate,Mid,70468087.50900257
statedpolicy_instaterps_mid,2050,SP + 80% Instate,Mid,49263575.95013796
statedpolicy_instaterps_noflexibleload,2030,SP + 80% Instate,No Flexible Load,81136698.40475175
statedpolicy_instaterps_noflexibleload,2040,SP + 80% Instate,No Flexible Load,67637193.66022247
statedpolicy_instaterps_noflexibleload,2050,SP + 80% Instate,No Flexible Load,52319718.97460508
statedpolicy_instaterps_nointertrans,2030,SP + 80% Instate,No Interregional Transmission Upgrade,81093839.7805423
statedpolicy_instaterps_nointertrans,2040,SP + 80% Instate,No Interregional Transmission Upgrade,71645502.43209128
statedpolicy_instaterps_nointertrans,2050,SP + 80% Instate,No Interregional Transmission Upgrade,56205572.38688956
statedpolicy_lowngcost,2030,Stated Policy (SP),Low NatGas Price,69518436.39587077
statedpolicy_lowngcost,2040,Stated Policy (SP),Low NatGas Price,65321410.034741595
statedpolicy_lowngcost,2050,Stated Policy (SP),Low NatGas Price,64388178.60788683
statedpolicy_lowrecost,2030,Stated Policy (SP),Low RE/BESS Cost,81650865.13933873
statedpolicy_lowrecost,2040,Stated Policy (SP),Low RE/BESS Cost,66309981.607034445
statedpolicy_lowrecost,2050,Stated Policy (SP),Low RE/BESS Cost,63905865.062509805
statedpolicy_mid,2030,Stated Policy (SP),Mid,82298176.59973274
statedpolicy_mid,2040,Stated Policy (SP),Mid,78261746.5701749
statedpolicy_mid,2050,Stated Policy (SP),Mid,73833902.15214863
statedpolicy_noflexibleload,2030,Stated Policy (SP),No Flexible Load,81136916.90609509
statedpolicy_noflexibleload,2040,Stated Policy (SP),No Flexible Load,76668380.07754451
statedpolicy_noflexibleload,2050,Stated Policy (SP),No Flexible Load,74557393.41560434
statedpolicy_nointertrans,2030,Stated Policy (SP),No Interregional Transmission Upgrade,81093528.54957685
statedpolicy_nointertrans,2040,Stated Policy (SP),No Interregional Transmission Upgrade,82661408.68347053
statedpolicy_nointertrans,2050,Stated Policy (SP),No Interregional Transmission Upgrade,78223325.72503264
statedpolicy_nuclear_doublezcfcost,2030,SP + Nuclear,Doubled ZCF Fuel Price,82298176.59973274
statedpolicy_nuclear_doublezcfcost,2040,SP + Nuclear,Doubled ZCF Fuel Price,75107783.43835741
statedpolicy_nuclear_doublezcfcost,2050,SP + Nuclear,Doubled ZCF Fuel Price,75288682.20446742
statedpolicy_nuclear_highngcost,2030,SP + Nuclear,High NatGas Price,94608361.20672776
statedpolicy_nuclear_highngcost,2040,SP + Nuclear,High NatGas Price,76055257.21600145
statedpolicy_nuclear_highngcost,2050,SP + Nuclear,High NatGas Price,75040333.21091272
statedpolicy_nuclear_highrecost,2030,SP + Nuclear,High RE/BESS Cost,82943022.59150313
statedpolicy_nuclear_highrecost,2040,SP + Nuclear,High RE/BESS Cost,79163809.61656901
statedpolicy_nuclear_highrecost,2050,SP + Nuclear,High RE/BESS Cost,83957730.36109056
statedpolicy_nuclear_instaterps_doublezcfcost,2030,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,82298201.57137391
statedpolicy_nuclear_instaterps_doublezcfcost,2040,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,67417613.95776625
statedpolicy_nuclear_instaterps_doublezcfcost,2050,SP + Nuclear + 80% Instate,Doubled ZCF Fuel Price,55803994.71884487
statedpolicy_nuclear_instaterps_highngcost,2030,SP + Nuclear + 80% Instate,High NatGas Price,94608305.38042751
statedpolicy_nuclear_instaterps_highngcost,2040,SP + Nuclear + 80% Instate,High NatGas Price,66596667.744371355
statedpolicy_nuclear_instaterps_highngcost,2050,SP + Nuclear + 80% Instate,High NatGas Price,55857980.331875
statedpolicy_nuclear_instaterps_highrecost,2030,SP + Nuclear + 80% Instate,High RE/BESS Cost,82942872.94779527
statedpolicy_nuclear_instaterps_highrecost,2040,SP + Nuclear + 80% Instate,High RE/BESS Cost,71578979.35096624
statedpolicy_nuclear_instaterps_highrecost,2050,SP + Nuclear + 80% Instate,High RE/BESS Cost,54225071.62418575
statedpolicy_nuclear_instaterps_lowngcost,2030,SP + Nuclear + 80% Instate,Low NatGas Price,69518336.81507188
statedpolicy_nuclear_instaterps_lowngcost,2040,SP + Nuclear + 80% Instate,Low NatGas Price,53227459.21991954
statedpolicy_nuclear_instaterps_lowngcost,2050,SP + Nuclear + 80% Instate,Low NatGas Price,35974523.851730525
statedpolicy_nuclear_instaterps_lowrecost,2030,SP + Nuclear + 80% Instate,Low RE/BESS Cost,81650905.70663509
statedpolicy_nuclear_instaterps_lowrecost,2040,SP + Nuclear + 80% Instate,Low RE/BESS Cost,57619312.24792969
statedpolicy_nuclear_instaterps_lowrecost,2050,SP + Nuclear + 80% Instate,Low RE/BESS Cost,51310997.04977182
statedpolicy_nuclear_instaterps_mid,2030,SP + Nuclear + 80% Instate,Mid,82298201.57137391
statedpolicy_nuclear_instaterps_mid,2040,SP + Nuclear + 80% Instate,Mid,66721048.233598
statedpolicy_nuclear_instaterps_mid,2050,SP + Nuclear + 80% Instate,Mid,50887505.648402125
statedpolicy_nuclear_instaterps_noflexibleload,2030,SP + Nuclear + 80% Instate,No Flexible Load,81136698.40475175
statedpolicy_nuclear_instaterps_noflexibleload,2040,SP + Nuclear + 80% Instate,No Flexible Load,64807325.085386045
statedpolicy_nuclear_instaterps_noflexibleload,2050,SP + Nuclear + 80% Instate,No Flexible Load,54801907.10378909
statedpolicy_nuclear_instaterps_nointertrans,2030,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,81093839.7805423
statedpolicy_nuclear_instaterps_nointertrans,2040,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,69705236.33801219
statedpolicy_nuclear_instaterps_nointertrans,2050,SP + Nuclear + 80% Instate,No Interregional Transmission Upgrade,58551987.43706396
statedpolicy_nuclear_lowngcost,2030,SP + Nuclear,Low NatGas Price,69518436.39587077
statedpolicy_nuclear_lowngcost,2040,SP + Nuclear,Low NatGas Price,62302390.47475916
statedpolicy_nuclear_lowngcost,2050,SP + Nuclear,Low NatGas Price,62062677.64390163
statedpolicy_nuclear_lowrecost,2030,SP + Nuclear,Low RE/BESS Cost,81650865.13933873
statedpolicy_nuclear_lowrecost,2040,SP + Nuclear,Low RE/BESS Cost,64724069.36252853
statedpolicy_nuclear_lowrecost,2050,SP + Nuclear,Low RE/BESS Cost,63081312.35811515
statedpolicy_nuclear_mid,2030,SP + Nuclear,Mid,82298176.59973274
statedpolicy_nuclear_mid,2040,SP + Nuclear,Mid,74508802.84872854
statedpolicy_nuclear_mid,2050,SP + Nuclear,Mid,71454725.18458337
statedpolicy_nuclear_noflexibleload,2030,SP + Nuclear,No Flexible Load,81136916.90609509
statedpolicy_nuclear_noflexibleload,2040,SP + Nuclear,No Flexible Load,72763113.3778993
statedpolicy_nuclear_noflexibleload,2050,SP + Nuclear,No Flexible Load,71744434.94620131
statedpolicy_nuclear_nointertrans,2030,SP + Nuclear,No Interregional Transmission Upgrade,81093528.54957685
statedpolicy_nuclear_nointertrans,2040,SP + Nuclear,No Interregional Transmission Upgrade,77832470.9576464
statedpolicy_nuclear_nointertrans,2050,SP + Nuclear,No Interregional Transmission Upgrade,77273853.08658546
